age,cap,goal,height,name,nation,salary
32,7,0,184,MasaakiHigashiguchiM.,japan,131000
29,11,0,187,ShuichiGondaS.,japan,900
27,2,0,197,DanielSchmidtD.,japan,675
30,95,10,189,MayaYoshidaM.,japan,630000
20,9,1,188,TakehiroTomiyasuT.,japan,540000
31,38,4,182,TomoakiMakinoT.,japan,180000
30,7,1,182,TsukasaShiotaniT.,japan,171000
23,6,0,183,GentaMiuraG.,japan,117000
32,116,3,169,YutoNagatomoY.,japan,248000
29,4,0,176,ShoSasakiS.,japan,855
28,55,1,183,HirokiSakaiH.,japan,720000
24,6,0,176,SeiMuroyaS.,japan,990
26,20,0,178,WataruEndoW.,japan,135000
32,12,1,174,ToshihiroAoyamaT.,japan,135000
26,32,3,175,GakuShibasakiG.,japan,225000
30,34,6,169,TakashiInuiT.,japan,450000
27,47,10,177,GenkiHaraguchiG.,japan,360000
20,11,3,172,RitsuDoanR.,japan,675000
25,12,2,176,JunyaItoJunya,japan,180000
26,29,3,178,YoshinoriMutoY.,japan,900000
28,41,14,182,YuyaOsakoY.,japan,540000
24,13,5,174,TakumiMinaminoT.,japan,450000
22,8,0,180,KoyaKitagawaK.,japan,144000
35,106,0,182,IgnatiyNesterovI.,uzbekistan,585
29,0,0,180,SandzharKuvvatovS.,uzbekistan,450
28,1,0,181,UtkirYusupovU.,uzbekistan,270
29,62,1,180,IslamTukhtakhodzhaevI.,uzbekistan,720
26,21,0,181,DavronKhoshimovD.,uzbekistan,450
27,33,2,193,EgorKrimetsE.,uzbekistan,315
23,3,0,187,DostonbekTursunovD.,uzbekistan,270
33,95,3,190,AnzurIsmailovA.,uzbekistan,270
29,20,1,181,OlegZoteevO.,uzbekistan,675
28,17,0,183,FarrukhSayfievF.,uzbekistan,540
32,33,0,178,AkmalShorakhmedovA.,uzbekistan,405
31,93,17,180,OdilAkhmedovO.,uzbekistan,540000
25,13,0,173,IkromjonAlibaevI.,uzbekistan,810
30,24,0,183,FozilMusaevF.,uzbekistan,540
24,6,0,181,AzizbekTurgunboevA.,uzbekistan,540
22,11,1,164,JavokhirSidikovJ.,uzbekistan,540
22,9,0,178,OdildzhonKhamrobekovO.,uzbekistan,540
22,25,2,182,OtabekShukurovO.,uzbekistan,450
25,17,2,178,JaloliddinMasharipovJ.,uzbekistan,126000
22,11,0,180,DostonbekKhamdamovD.,uzbekistan,720
27,48,13,184,SardorRashidovS.,uzbekistan,135000
33,54,8,178,MaratBikmaevM.,uzbekistan,108000
23,31,10,190,EldorShomurodovE.,uzbekistan,810
20,0,0,175,AmmarAl,oman,191
30,9,0,185,FaiyzAl,oman,191
24,2,0,186,AhmedAl,oman,191
25,7,0,175,MohammedAl,oman,191
25,0,0,175,KhalidAl,oman,191
26,16,0,175,MahmoodAl,oman,191
28,23,0,175,MohammedAl,oman,90
29,44,1,183,MohammedAl,oman,191
28,48,1,172,AliAl,oman,191
31,53,0,170,SaadSuhailSaad,oman,675
24,1,0,168,MohamedKhasib,oman,191
20,8,2,174,SalahAl,oman,191
29,44,0,175,AliAl,oman,90
22,0,0,175,MatazSalehM.,oman,191
26,72,4,178,RaedIbrahim,oman,113
22,22,2,168,JameelAl,oman,191
30,38,6,173,MohsinAl,oman,90
33,96,10,179,AhmedMubarak,oman,90
25,17,0,168,YaseenAl,oman,191
29,22,0,168,HaribAl,oman,191
24,18,10,182,KhalidAl,oman,191
33,19,3,173,MohamedSaleh,oman,191
21,9,0,184,MuhsenAl,oman,191
32,20,0,182,MamedOrazmuhamedowM.,turkmenistan,180
27,0,0,182,BatyrBabaevB.,turkmenistan,180
34,13,0,190,NikitaGorbunovN.,turkmenistan,180
32,8,0,182,ZafarBabajanowZ.,turkmenistan,23
22,1,0,182,GuychmyratAnnagulyyevG.,turkmenistan,180
24,21,1,182,MekanSaparovM.,turkmenistan,180
27,3,0,182,WezirgeldiYlýasowW.,turkmenistan,180
28,32,0,182,SerdarAnnaorazowS.,turkmenistan,180
22,4,1,182,ResulHojayevR.,turkmenistan,180
28,25,1,185,AhmetAtayewA.,turkmenistan,113
31,21,0,185,SerdarGeldiyewS.,turkmenistan,180
27,23,4,175,RuslanMingazovR.,turkmenistan,495
27,4,0,182,MerdanKurbanovM.,turkmenistan,90
30,10,1,182,GurbangeldiBatyrovG.,turkmenistan,180
29,9,0,177,IlyaTamurkinI.,turkmenistan,180
25,5,0,182,MyratAnnaýewM.,turkmenistan,180
25,3,0,182,DovranOrazalyyevD.,turkmenistan,180
28,38,9,175,ArslanmuratAmanovA.,turkmenistan,270
27,7,2,182,MuratYakshiyewM.,turkmenistan,180
27,6,2,187,VakhytOrazsakhedovV.,turkmenistan,90
25,18,4,182,SüleymanMuhadowS.,turkmenistan,180
21,3,0,182,MikhailTitovM.,turkmenistan,180
25,14,4,182,AltymyratAnnadurdiyewA.,turkmenistan,180
